Time,loss,val_loss,batch
1.66893E-06,0.749275029,0.707841304,0
3.33786E-06,0.701295853,0.711798188,1
5.48363E-06,0.651766241,0.689326336,2
6.91414E-06,0.63009727,0.706447723,3
8.58307E-06,0.620344281,0.686750954,4
1.00136E-05,0.60744977,0.682958229,5
1.16825E-05,0.578486025,0.675816268,6
1.33514E-05,0.554783106,0.679824858,7
1.52588E-05,0.545270622,0.667634074,8
1.71661E-05,0.527178884,0.737611616,9
1.90735E-05,0.52178508,,10
2.14577E-05,0.520847738,,11
2.31266E-05,0.51427114,,12
2.45571E-05,0.507088721,,13
2.6226E-05,0.504164934,,14
2.76566E-05,0.511161327,,15
3.00407E-05,0.513341069,,16
3.24249E-05,0.51455915,,17
3.43323E-05,0.523150384,,18
3.60012E-05,0.519570172,,19
3.8147E-05,0.519496799,,20
4.00543E-05,0.515492022,,21
4.19617E-05,0.511624575,,22
4.43459E-05,0.512109756,,23
4.60148E-05,0.510601044,,24
4.74453E-05,0.510620832,,25
4.91142E-05,0.511428833,,26
5.10216E-05,0.511404872,,27
5.26905E-05,0.508153617,,28
5.48363E-05,0.507598162,,29
5.60284E-05,0.504832029,,30
5.81741E-05,0.504879773,,31
6.05583E-05,0.504699051,,32
6.22272E-05,0.508323967,,33
6.38962E-05,0.507791579,,34
6.55651E-05,0.507425487,,35
6.74725E-05,0.505032897,,36
6.93798E-05,0.503488779,,37
7.1764E-05,0.50270921,,38
7.29561E-05,0.500978231,,39
7.43866E-05,0.499057442,,40
7.58171E-05,0.498544365,,41
7.70092E-05,0.495903403,,42
7.89165E-05,0.497806072,,43
8.08239E-05,0.498840153,,44
8.24928E-05,0.498522997,,45
8.44002E-05,0.497041136,,46
8.65459E-05,0.495996803,,47
8.86917E-05,0.495773435,,48
9.17912E-05,0.494857222,,49
9.36985E-05,0.496921986,,50
9.58443E-05,0.498022616,,51
9.77516E-05,0.497334927,,52
9.9659E-05,0.49754712,,53
0.000101566,0.496887773,,54
0.000103712,0.495046467,,55
0.000105143,0.493528664,,56
0.000107527,0.49370411,,57
0.000109434,0.493191093,,58
0.000111341,0.492070049,,59
0.000113487,0.493317872,,60
0.000114918,0.491377115,,61
0.000117064,0.491782308,,62
0.000118494,0.491897017,,63
0.000120163,0.490540355,,64
0.000121832,0.489487737,,65
0.000125885,0.491070479,,66
0.000128746,0.490770221,,67
0.000130177,0.489129394,,68
0.000131845,0.490649402,,69
0.000133753,0.489486903,,70
0.000135899,0.490026951,,71
0.000137329,0.49121359,,72
0.000138998,0.492380351,,73
0.000141382,0.491484433,,74
0.000143528,0.491749316,,75
0.000152826,0.491117686,,76
0.00015521,0.490680248,,77
0.000157356,0.487968683,,78
0.00015974,0.488415807,,79
0.000162125,0.487727165,,80
0.000164986,0.486468673,,81
0.000167608,0.486419231,,82
0.000169754,0.487485021,,83
0.0001719,0.486908287,,84
0.00017333,0.487864465,,85
0.000174522,0.487189293,,86
0.000176668,0.487442613,,87
0.000178814,0.486524522,,88
0.00018096,0.486049026,,89
0.000183105,0.486741692,,90
0.000185013,0.486705691,,91
0.000187397,0.487226963,,92
0.000190496,0.486501724,,93
0.000191927,0.486106485,,94
0.000193357,0.486115456,,95
0.000195265,0.487939119,,96
0.000197411,0.48850441,,97
0.000199795,0.488320023,,98
0.000201941,0.488201171,,99
0.000203133,0.489159495,,100
0.000205517,0.489333928,,101
0.000207901,0.488827795,,102
0.000209808,0.487291336,,103
0.000212193,0.485924035,,104
0.000213861,0.486072779,,105
0.000216246,0.486379951,,106
0.000217915,0.485126525,,107
0.000220299,0.484737247,,108
0.000222445,0.48396337,,109
0.000224829,0.483005255,,110
0.000226498,0.48200044,,111
0.000228882,0.481324762,,112
0.000230789,0.480690777,,113
0.000232458,0.48079437,,114
0.000234127,0.480737627,,115
0.000236273,0.48068589,,116
0.000238419,0.480614215,,117
0.000240088,0.481057227,,118
0.000241756,0.480339855,,119
0.000244141,0.479443103,,120
0.000246286,0.479499876,,121
0.000247717,0.479227632,,122
0.000249386,0.47971344,,123
0.000251532,0.479883879,,124
0.000253439,0.479861379,,125
0.000255585,0.479730874,,126
0.000257254,0.479830086,,127
0.000259876,0.479408622,,128
0.000261784,0.479553044,,129
0.000263453,0.479188055,,130
0.000264883,0.47916016,,131
0.000266314,0.479662985,,132
0.000268698,0.47840181,,133
0.000270367,0.478069901,,134
0.000271797,0.477808237,,135
0.000273466,0.478224933,,136
0.000275373,0.478473663,,137
0.000278234,0.478806973,,138
0.000280142,0.47891137,,139
0.000281572,0.478798032,,140
0.000283718,0.479244709,,141
0.000285625,0.478747666,,142
0.000287533,0.478368133,,143
0.000289679,0.478213459,,144
0.000291586,0.478157729,,145
0.000293732,0.478234798,,146
0.000295401,0.478490353,,147
0.000297546,0.478517532,,148
0.000299931,0.478640348,,149
0.000302553,0.478456259,,150
0.000304222,0.478269875,,151
0.000305891,0.477653712,,152
0.00030756,0.478371501,,153
0.000308752,0.477548897,,154
0.000313759,0.477262497,,155
0.000315428,0.477410883,,156
0.000317335,0.443691492,,0
0.000318766,0.439423025,,1
0.000320196,0.452425361,,2
0.000322819,0.453092217,,3
0.000325203,0.428743511,,4
0.000327587,0.432804227,,5
0.000329494,0.415014416,,6
0.000331402,0.413102329,,7
0.000333071,0.416678786,,8
0.00033474,0.42855221,,9
0.000337362,0.435557187,,10
0.000339508,0.431055278,,11
0.000341654,0.428316653,,12
0.000344038,0.430512011,,13
0.000345945,0.428380847,,14
0.000348568,0.432170242,,15
0.000350237,0.430534422,,16
0.000352144,0.439017177,,17
0.000354767,0.444268078,,18
0.000356913,0.445606768,,19
0.000359535,0.446581066,,20
0.000362158,0.446628571,,21
0.000364065,0.449225038,,22
0.000365257,0.451170444,,23
0.000367165,0.452653915,,24
0.000369549,0.451601654,,25
0.000371218,0.452061117,,26
0.000372648,0.453091055,,27
0.000374794,0.455074072,,28
0.00037694,0.451540321,,29
0.000378609,0.452024758,,30
0.000380754,0.456449091,,31
0.000383139,0.454721093,,32
0.000385284,0.45343703,,33
0.000386477,0.454234362,,34
0.000387669,0.451839864,,35
0.000389814,0.452337623,,36
0.00039196,0.451400846,,37
0.000394344,0.451635063,,38
0.000395775,0.453213871,,39
0.000397921,0.452973753,,40
0.000399828,0.452689171,,41
0.000402212,0.451339155,,42
0.000404358,0.450970203,,43
0.000405788,0.451268762,,44
0.000407934,0.449313045,,45
0.000409603,0.447813332,,46
0.000411987,0.447353482,,47
0.00041461,0.449310035,,48
0.000416279,0.45195663,,49
0.000417948,0.453282177,,50
0.000419378,0.453429252,,51
0.000421524,0.454414785,,52
0.000422955,0.4552311,,53
0.0004251,0.455279738,,54
0.000426769,0.455889612,,55
0.000428677,0.454312384,,56
0.000430822,0.452941447,,57
0.00043273,0.452075899,,58
0.000434637,0.45200336,,59
0.000436306,0.452075481,,60
0.000438213,0.453866363,,61
0.000440598,0.453260303,,62
0.00044179,0.451279879,,63
0.000444412,0.452720523,,64
0.000446558,0.454018831,,65
0.000449419,0.454009384,,66
0.000450373,0.452922493,,67
0.000452042,0.454052567,,68
0.000453711,0.453772992,,69
0.000455141,0.456613839,,70
0.000457525,0.457175463,,71
0.000459194,0.458229184,,72
0.000461578,0.45876056,,73
0.000463963,0.457810014,,74
0.00046587,0.457039535,,75
0.000468016,0.457177401,,76
0.000469923,0.455984592,,77
0.000471115,0.455581516,,78
0.000473261,0.455650747,,79
0.000475407,0.455111086,,80
0.000477076,0.455081582,,81
0.000478506,0.455633044,,82
0.000479698,0.455988199,,83
0.00048089,0.455479294,,84
0.000482321,0.457363397,,85
0.000483751,0.457736611,,86
0.000485659,0.456660479,,87
0.00048852,0.456805587,,88
0.000490665,0.4557015,,89
0.000492334,0.456091285,,90
0.000493526,0.458133131,,91
0.000497341,0.457773387,,92
0.000499249,0.458443373,,93
0.000501633,0.458346397,,94
0.00050354,0.458340019,,95
