Nodule_FPR,Nodule_TPR,Nodule_AUC, ,Infiltration_FPR,Infiltration_TPR,Infiltration_AUC, ,Effusion_FPR,Effusion_TPR,Effusion_AUC, ,Atelectasis_FPR,Atelectasis_TPR,Atelectasis_AUC, ,Total_FPR,Total_TPR,Total_AUC
0.0,0.0,0.6595366662289917,,0.0,0.0,0.6723898886229749,,0.0,0.0,0.844915131596885,,0.0,0.0,0.7257764173150437,,0.0,0.0,0.6595366662289917
0.0,0.0052083333333333,0.6595366662289917,,0.0,0.0011160714285714,0.6723898886229749,,0.0002775464890369,0.0,0.844915131596885,,0.0,0.0030395136778115,0.7257764173150437,,0.0,0.0052083333333333,0.6595366662289917
0.001313025210084,0.0052083333333333,0.6595366662289917,,0.0,0.0022321428571428,0.6723898886229749,,0.0005550929780738,0.0,0.844915131596885,,0.0,0.0060790273556231,0.7257764173150437,,0.001313025210084,0.0052083333333333,0.6595366662289917
0.001313025210084,0.015625,0.6595366662289917,,0.0006443298969072,0.0022321428571428,0.6723898886229749,,0.0005550929780738,0.0025188916876574,0.844915131596885,,0.0005448106782892,0.0060790273556231,0.7257764173150437,,0.001313025210084,0.015625,0.6595366662289917
0.0015756302521008,0.015625,0.6595366662289917,,0.0006443298969072,0.0055803571428571,0.6723898886229749,,0.0008326394671107,0.0025188916876574,0.844915131596885,,0.0005448106782892,0.0091185410334346,0.7257764173150437,,0.0015756302521008,0.015625,0.6595366662289917
0.0015756302521008,0.0208333333333333,0.6595366662289917,,0.0009664948453608,0.0055803571428571,0.6723898886229749,,0.0008326394671107,0.0100755667506297,0.844915131596885,,0.0010896213565785,0.0091185410334346,0.7257764173150437,,0.0015756302521008,0.0208333333333333,0.6595366662289917
0.0028886554621848,0.0208333333333333,0.6595366662289917,,0.0009664948453608,0.0078125,0.6723898886229749,,0.0011101859561476,0.0100755667506297,0.844915131596885,,0.0010896213565785,0.0121580547112462,0.7257764173150437,,0.0028886554621848,0.0208333333333333,0.6595366662289917
0.0028886554621848,0.0260416666666666,0.6595366662289917,,0.0012886597938144,0.0078125,0.6723898886229749,,0.0011101859561476,0.0226700251889168,0.844915131596885,,0.0016344320348678,0.0121580547112462,0.7257764173150437,,0.0028886554621848,0.0260416666666666,0.6595366662289917
0.0034138655462184,0.0260416666666666,0.6595366662289917,,0.0012886597938144,0.0089285714285714,0.6723898886229749,,0.0016652789342214,0.0226700251889168,0.844915131596885,,0.0016344320348678,0.0151975683890577,0.7257764173150437,,0.0034138655462184,0.0260416666666666,0.6595366662289917
0.0034138655462184,0.03125,0.6595366662289917,,0.0019329896907216,0.0089285714285714,0.6723898886229749,,0.0016652789342214,0.0251889168765743,0.844915131596885,,0.0043584854263143,0.0151975683890577,0.7257764173150437,,0.0034138655462184,0.03125,0.6595366662289917
0.0036764705882352,0.03125,0.6595366662289917,,0.0019329896907216,0.0111607142857142,0.6723898886229749,,0.0019428254232583,0.0251889168765743,0.844915131596885,,0.0043584854263143,0.0182370820668693,0.7257764173150437,,0.0036764705882352,0.03125,0.6595366662289917
0.0036764705882352,0.0364583333333333,0.6595366662289917,,0.0028994845360824,0.0111607142857142,0.6723898886229749,,0.0019428254232583,0.0277078085642317,0.844915131596885,,0.004630890765459,0.0182370820668693,0.7257764173150437,,0.0036764705882352,0.0364583333333333,0.6595366662289917
0.0042016806722689,0.0364583333333333,0.6595366662289917,,0.0028994845360824,0.0122767857142857,0.6723898886229749,,0.0022203719122953,0.0277078085642317,0.844915131596885,,0.004630890765459,0.0212765957446808,0.7257764173150437,,0.0042016806722689,0.0364583333333333,0.6595366662289917
0.0042016806722689,0.0416666666666666,0.6595366662289917,,0.003221649484536,0.0122767857142857,0.6723898886229749,,0.0022203719122953,0.0302267002518891,0.844915131596885,,0.0051757014437482,0.0212765957446808,0.7257764173150437,,0.0042016806722689,0.0416666666666666,0.6595366662289917
0.0055147058823529,0.0416666666666666,0.6595366662289917,,0.003221649484536,0.0133928571428571,0.6723898886229749,,0.0024979184013322,0.0302267002518891,0.844915131596885,,0.0051757014437482,0.0273556231003039,0.7257764173150437,,0.0055147058823529,0.0416666666666666,0.6595366662289917
0.0055147058823529,0.046875,0.6595366662289917,,0.0035438144329896,0.0133928571428571,0.6723898886229749,,0.0024979184013322,0.0403022670025188,0.844915131596885,,0.0062653228003268,0.0273556231003039,0.7257764173150437,,0.0055147058823529,0.046875,0.6595366662289917
0.0057773109243697,0.046875,0.6595366662289917,,0.0035438144329896,0.0189732142857142,0.6723898886229749,,0.003053011379406,0.0403022670025188,0.844915131596885,,0.0062653228003268,0.0303951367781155,0.7257764173150437,,0.0057773109243697,0.046875,0.6595366662289917
0.0057773109243697,0.0520833333333333,0.6595366662289917,,0.0041881443298969,0.0189732142857142,0.6723898886229749,,0.003053011379406,0.0428211586901763,0.844915131596885,,0.0076273494960501,0.0303951367781155,0.7257764173150437,,0.0057773109243697,0.0520833333333333,0.6595366662289917
0.0065651260504201,0.0520833333333333,0.6595366662289917,,0.0041881443298969,0.0200892857142857,0.6723898886229749,,0.0036081043574798,0.0428211586901763,0.844915131596885,,0.0076273494960501,0.0364741641337386,0.7257764173150437,,0.0065651260504201,0.0520833333333333,0.6595366662289917
0.0065651260504201,0.0572916666666666,0.6595366662289917,,0.0051546391752577,0.0200892857142857,0.6723898886229749,,0.0036081043574798,0.0453400503778337,0.844915131596885,,0.0089893761917733,0.0364741641337386,0.7257764173150437,,0.0065651260504201,0.0572916666666666,0.6595366662289917
