Nodule_FPR,Nodule_TPR,Nodule_AUC, ,Infiltration_FPR,Infiltration_TPR,Infiltration_AUC, ,Effusion_FPR,Effusion_TPR,Effusion_AUC, ,Atelectasis_FPR,Atelectasis_TPR,Atelectasis_AUC, ,Total_FPR,Total_TPR,Total_AUC
0.0,0.0,0.5914862821320745,,0.0,0.0,0.6209664062500001,,0.0,0.0,0.8684729777334016,,0.0,0.0,0.7624069268378769,,0.0,0.0,0.5914862821320745
0.0002667377967457,0.0,0.5914862821320745,,0.0003125,0.0,0.6209664062500001,,0.0,0.0018726591760299,0.8684729777334016,,0.0002862049227246,0.0,0.7624069268378769,,0.0002667377967457,0.0,0.5914862821320745
0.0002667377967457,0.0039840637450199,0.5914862821320745,,0.0003125,0.00125,0.6209664062500001,,0.0,0.0093632958801498,0.8684729777334016,,0.0002862049227246,0.0039525691699604,0.7624069268378769,,0.0002667377967457,0.0039840637450199,0.5914862821320745
0.0005334755934915,0.0039840637450199,0.5914862821320745,,0.000625,0.00125,0.6209664062500001,,0.0002885170225043,0.0093632958801498,0.8684729777334016,,0.000858614768174,0.0039525691699604,0.7624069268378769,,0.0005334755934915,0.0039840637450199,0.5914862821320745
0.0005334755934915,0.0079681274900398,0.5914862821320745,,0.000625,0.005,0.6209664062500001,,0.0002885170225043,0.0131086142322097,0.8684729777334016,,0.000858614768174,0.0059288537549407,0.7624069268378769,,0.0005334755934915,0.0079681274900398,0.5914862821320745
0.0008002133902373,0.0079681274900398,0.5914862821320745,,0.0009375,0.005,0.6209664062500001,,0.0008655510675129,0.0131086142322097,0.8684729777334016,,0.001717229536348,0.0059288537549407,0.7624069268378769,,0.0008002133902373,0.0079681274900398,0.5914862821320745
0.0008002133902373,0.0159362549800796,0.5914862821320745,,0.0009375,0.01875,0.6209664062500001,,0.0008655510675129,0.0187265917602996,0.8684729777334016,,0.001717229536348,0.0079051383399209,0.7624069268378769,,0.0008002133902373,0.0159362549800796,0.5914862821320745
0.0018671645772205,0.0159362549800796,0.5914862821320745,,0.0015625,0.01875,0.6209664062500001,,0.0011540680900173,0.0187265917602996,0.8684729777334016,,0.0020034344590726,0.0079051383399209,0.7624069268378769,,0.0018671645772205,0.0159362549800796,0.5914862821320745
0.0018671645772205,0.0199203187250996,0.5914862821320745,,0.0015625,0.02125,0.6209664062500001,,0.0011540680900173,0.0243445692883895,0.8684729777334016,,0.0020034344590726,0.0138339920948616,0.7624069268378769,,0.0018671645772205,0.0199203187250996,0.5914862821320745
0.0061349693251533,0.0199203187250996,0.5914862821320745,,0.0028125,0.02125,0.6209664062500001,,0.0014425851125216,0.0243445692883895,0.8684729777334016,,0.002575844304522,0.0138339920948616,0.7624069268378769,,0.0061349693251533,0.0199203187250996,0.5914862821320745
