Time,loss,val_auc,batch,,,,
1.90735E-06,0.623445094,0.677352247,0,,,,
4.29153E-06,0.540820479,0.693132357,1,,,,
5.96046E-06,0.582074344,0.689255692,2,,,,
7.39098E-06,0.600833178,0.700286219,3,,,,
1.0252E-05,0.600376308,0.701173984,4,,,,
1.16825E-05,0.586656153,0.697415607,5,,,,
1.38283E-05,0.582807541,0.707565227,6,,,,
1.54972E-05,0.585021853,0.717254131,7,,,,
1.71661E-05,0.57618624,0.714427032,8,,,,
1.88351E-05,0.581917048,0.714121468,9,,,,
2.0504E-05,0.572292387,,10,,,,
2.21729E-05,0.576891482,,11,,,,
2.40803E-05,0.569431841,,12,,,,
2.69413E-05,0.56139487,,13,,,,
2.88486E-05,0.55901593,,14,,,,
3.02792E-05,0.549834251,,15,,,,
3.19481E-05,0.545647025,,16,,,,
3.38554E-05,0.538600326,,17,,,,
3.57628E-05,0.535355926,,18,,,,
3.79086E-05,0.531108022,,19,,,,
3.98159E-05,0.531288624,,20,,,,
4.19617E-05,0.530562162,,21,,,,
4.33922E-05,0.530068696,,22,,,,
4.57764E-05,0.526052952,,23,,,,
4.72069E-05,0.526071191,,24,,,,
4.88758E-05,0.524622858,,25,,,,
5.07832E-05,0.524245262,,26,,,,
5.34058E-05,0.520668149,,27,,,,
5.50747E-05,0.518981993,,28,,,,
5.72205E-05,0.518791854,,29,,,,
5.84126E-05,0.515741408,,30,,,,
6.00815E-05,0.516090631,,31,,,,
6.22272E-05,0.51859796,,32,,,,
6.41346E-05,0.518211961,,33,,,,
6.58035E-05,0.518689752,,34,,,,
6.81877E-05,0.514910936,,35,,,,
6.98566E-05,0.51335454,,36,,,,
7.1764E-05,0.509814441,,37,,,,
7.34329E-05,0.506183088,,38,,,,
7.53403E-05,0.506133854,,39,,,,
7.70092E-05,0.504040241,,40,,,,
7.86781E-05,0.507902443,,41,,,,
8.15392E-05,0.50826174,,42,,,,
8.34465E-05,0.507908404,,43,,,,
8.60691E-05,0.508154035,,44,,,,
8.86917E-05,0.510856748,,45,,,,
9.01222E-05,0.509707689,,46,,,,
9.17912E-05,0.507849395,,47,,,,
9.36985E-05,0.508564174,,48,,,,
9.53674E-05,0.508234382,,49,,,,
9.89437E-05,0.509235203,,50,,,,
0.000100613,0.508207738,,51,,,,
0.000102997,0.509796977,,52,,,,
0.000105143,0.507615328,,53,,,,
0.00010705,0.507119954,,54,,,,
0.000108719,0.506285429,,55,,,,
0.000110865,0.507135034,,56,,,,
0.000113249,0.50959295,,57,,,,
0.000115633,0.509219885,,58,,,,
0.000118494,0.507305086,,59,,,,
0.00012064,0.508101344,,60,,,,
0.00012207,0.506091297,,61,,,,
0.000123739,0.505328536,,62,,,,
0.000125408,0.504153848,,63,,,,
0.000127316,0.502895415,,64,,,,
0.000129223,0.503237009,,65,,,,
0.000131369,0.504129767,,66,,,,
0.000133276,0.505952656,,67,,,,
0.000134945,0.504634917,,68,,,,
0.000136852,0.505148888,,69,,,,
0.00013876,0.504983485,,70,,,,
0.000140667,0.504926801,,71,,,,
0.000142097,0.502981305,,72,,,,
0.000144482,0.502620518,,73,,,,
0.000146389,0.50243789,,74,,,,
0.000148296,0.500492096,,75,,,,
0.000150919,0.499636501,,76,,,,
0.000153303,0.499461353,,77,,,,
0.00015521,0.499497235,,78,,,,
0.000157118,0.498354912,,79,,,,
0.000158787,0.498586833,,80,,,,
0.000160694,0.497650295,,81,,,,
0.000162363,0.49571234,,82,,,,
0.00016427,0.495256096,,83,,,,
0.000166655,0.494967014,,84,,,,
0.0001688,0.496720791,,85,,,,
0.000170231,0.497155547,,86,,,,
0.000172138,0.495790988,,87,,,,
0.000174761,0.495470315,,88,,,,
0.000177145,0.496186793,,89,,,,
0.000178814,0.495176196,,90,,,,
0.000180483,0.494545311,,91,,,,
0.000181913,0.494419932,,92,,,,
0.000184059,0.493783921,,93,,,,
0.000186443,0.492872864,,94,,,,
0.000188351,0.493626565,,95,,,,
0.000190258,0.493213177,,96,,,,
0.000192404,0.492871225,,97,,,,
0.000194073,0.492165565,,98,,,,
0.000196218,0.491078138,,99,,,,
0.000197887,0.489962935,,100,,,,
0.000200272,0.488745064,,101,,,,
0.000202417,0.488629788,,102,,,,
0.000204325,0.490013927,,103,,,,
0.000206947,0.488989949,,104,,,,
0.000208139,0.489463806,,105,,,,
0.000209332,0.489519,,106,,,,
0.000210762,0.49016726,,107,,,,
0.000212193,0.489457011,,108,,,,
0.0002141,0.488671452,,109,,,,
0.000215769,0.488849789,,110,,,,
0.000217438,0.487856567,,111,,,,
0.000219107,0.487542987,,112,,,,
0.000221252,0.487518251,,113,,,,
0.000223398,0.487872273,,114,,,,
0.000225782,0.488750815,,115,,,,
0.000228167,0.488178641,,116,,,,
0.000230551,0.487835467,,117,,,,
0.000232458,0.487090826,,118,,,,
0.000234842,0.486638337,,119,,,,
0.000236511,0.486232579,,120,,,,
0.000238895,0.487008452,,121,,,,
0.000240803,0.486776441,,122,,,,
0.000242233,0.486867577,,123,,,,
0.000244141,0.486394376,,124,,,,
0.000246286,0.487667024,,125,,,,
0.000248194,0.487266034,,126,,,,
0.00025034,0.4873209,,127,,,,
0.000251532,0.487591982,,128,,,,
0.000254393,0.488535792,,129,,,,
0.000256062,0.487886757,,130,,,,
0.000257969,0.487985492,,131,,,,
0.000260115,0.487968266,,132,,,,
0.000261545,0.487883657,,133,,,,
0.000263453,0.488505542,,134,,,,
0.000264645,0.488026351,,135,,,,
0.000266314,0.488468796,,136,,,,
0.000268459,0.487936378,,137,,,,
0.000270128,0.48730287,,138,,,,
0.000272036,0.487182945,,139,,,,
0.000273943,0.486644506,,140,,,,
0.000276327,0.486299813,,141,,,,
0.000278711,0.486728221,,142,,,,
0.000281334,0.4873555,,143,,,,
0.00028348,0.486194104,,144,,,,
0.000285149,0.486386806,,145,,,,
0.000287056,0.485854596,,146,,,,
0.000289202,0.485150725,,147,,,,
0.000292301,0.484615803,,148,,,,
0.000294209,0.484327704,,149,,,,
0.000296831,0.484058112,,150,,,,
0.000299692,0.483828694,,151,,,,
0.000301361,0.484169066,,152,,,,
0.000303507,0.484077811,,153,,,,
0.000304937,0.484301209,,154,,,,
0.000306606,0.484618217,,155,,,,
0.000308752,0.48467052,,156,,,,
0.000310659,0.448829442,,0,,,,
0.000313044,0.511745036,,1,,,,
0.000315666,0.510106385,,2,,,,
0.000317812,0.494673848,,3,,,,
0.000320196,0.502103209,,4,,,,
0.00032258,0.480941981,,5,,,,
0.000324488,0.498726696,,6,,,,
0.000326872,0.49466753,,7,,,,
0.000328779,0.49869144,,8,,,,
0.000331163,0.497733682,,9,,,,
0.000333309,0.499265015,,10,,,,
0.000335217,0.492422104,,11,,,,
0.000337124,0.491530955,,12,,,,
0.00033927,0.482801437,,13,,,,
0.000342131,0.48367393,,14,,,,
0.000344753,0.48459956,,15,,,,
0.000347376,0.478427649,,16,,,,
0.000349045,0.477745056,,17,,,,
0.000351429,0.479117453,,18,,,,
0.000353336,0.475136608,,19,,,,
0.000355482,0.468918532,,20,,,,
0.000358105,0.474137753,,21,,,,
0.000360489,0.470171094,,22,,,,
0.000362873,0.470490009,,23,,,,
0.000365019,0.470417202,,24,,,,
0.000367641,0.471709192,,25,,,,
0.00036931,0.469456851,,26,,,,
0.000370741,0.467082441,,27,,,,
0.000373363,0.469377577,,28,,,,
0.000375986,0.469825804,,29,,,,
0.000377178,0.46989125,,30,,,,
0.000378609,0.472016543,,31,,,,
0.000379801,0.471541792,,32,,,,
0.000382423,0.469421685,,33,,,,
0.000384331,0.470572293,,34,,,,
0.000386953,0.46909529,,35,,,,
0.000389338,0.465663612,,36,,,,
0.000391006,0.462092847,,37,,,,
0.000392914,0.461799681,,38,,,,
0.000395536,0.46254316,,39,,,,
0.000397444,0.462378293,,40,,,,
0.000399113,0.463717133,,41,,,,
0.000400782,0.464285612,,42,,,,
0.000403166,0.466782838,,43,,,,
0.000404835,0.468165517,,44,,,,
0.000406981,0.47025001,,45,,,,
0.000409365,0.469057053,,46,,,,
0.000411987,0.466948658,,47,,,,
0.000413179,0.466952264,,48,,,,
0.000415564,0.471360922,,49,,,,
0.000417471,0.469922006,,50,,,,
0.00042057,0.469090432,,51,,,,
0.000422001,0.468254447,,52,,,,
0.000423908,0.468305945,,53,,,,
0.000426531,0.468105048,,54,,,,
0.000428438,0.467207134,,55,,,,
0.000430107,0.468770117,,56,,,,
0.000431776,0.470460713,,57,,,,
0.000433445,0.471626401,,58,,,,
0.000435352,0.471559137,,59,,,,
0.000437498,0.47155416,,60,,,,
0.000439167,0.470843017,,61,,,,
0.000441313,0.470182985,,62,,,,
0.000443935,0.470345795,,63,,,,
0.00044632,0.470175624,,64,,,,
0.000448942,0.471555948,,65,,,,
0.000452042,0.472626179,,66,,,,
0.000454187,0.472628027,,67,,,,
0.000456095,0.47132653,,68,,,,
0.000458479,0.47143659,,69,,,,
0.000460863,0.471825719,,70,,,,
0.00046277,0.470535338,,71,,,,
0.000465155,0.47079441,,72,,,,
0.000468016,0.469708681,,73,,,,
0.000469685,0.468986779,,74,,,,
0.000471592,0.469537795,,75,,,,
0.000473499,0.468954057,,76,,,,
0.000475883,0.466945708,,77,,,,
0.000477552,0.465779662,,78,,,,
0.000479698,0.465506554,,79,,,,
0.000482798,0.465040892,,80,,,,
0.000485182,0.464386553,,81,,,,
0.000487089,0.464780331,,82,,,,
0.000488997,0.465891927,,83,,,,
0.000490665,0.465875834,,84,,,,
0.000492573,0.465241581,,85,,,,
0.000494719,0.465222269,,86,,,,
0.000497103,0.465687931,,87,,,,
0.000499249,0.465274125,,88,,,,
0.000501633,0.465937972,,89,,,,
0.000503063,0.466106921,,90,,,,
0.000504971,0.465632349,,91,,,,
0.000514269,0.465488106,,92,,,,
0.00051713,0.465788007,,93,,,,
0.000518799,0.465334147,,94,,,,
0.000520945,0.465123981,,95,,,,
0.000522852,0.465167105,,96,,,,
0.000525236,0.464653164,,97,,,,
0.000528336,0.463998348,,98,,,,
0.000530005,0.462051928,,99,,,,
0.00053215,0.461424083,,100,,,,
0.000534534,0.462203205,,101,,,,
0.00053668,0.462798208,,102,,,,
0.000538826,0.463228196,,103,,,,
0.000540018,0.463362157,,104,,,,
0.000541687,0.463575691,,105,,,,
0.000543118,0.463343263,,106,,,,
0.000544786,0.462858796,,107,,,,
0.000546932,0.46286732,,108,,,,
0.000549316,0.461971641,,109,,,,
0.000551224,0.460949689,,110,,,,
0.00055337,0.461190313,,111,,,,
0.000555515,0.460675627,,112,,,,
0.000557423,0.460500926,,113,,,,
0.000559568,0.460503668,,114,,,,
0.000561476,0.461639047,,115,,,,
0.000563145,0.4618586,,116,,,,
0.000565052,0.461846411,,117,,,,
0.000567675,0.462120801,,118,,,,
0.000570059,0.463081151,,119,,,,
0.000572443,0.46244058,,120,,,,
0.000574112,0.461508214,,121,,,,
0.000576496,0.461440921,,122,,,,
0.00057888,0.462003022,,123,,,,
0.000580788,0.462070674,,124,,,,
0.00058341,0.462215543,,125,,,,
0.000585556,0.462789029,,126,,,,
0.000587463,0.46295172,,127,,,,
0.000589371,0.463015288,,128,,,,
0.00059104,0.463494658,,129,,,,
0.000592947,0.462685406,,130,,,,
0.000595331,0.463125944,,131,,,,
0.000597,0.464029819,,132,,,,
0.000599146,0.463895619,,133,,,,
